Text,URL
May 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-05-15.pdf
June 19,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-06-19.pdf
September 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-09-18.pdf
October 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-10-16.pdf
January 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-01-17.pdf
February 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-02-21.pdf
March 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-03-21.pdf
April 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-04-18.pdf
May 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-05-16.pdf
June 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-06-20.pdf
September 19,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-09-19.pdf
October 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-10-17.pdf
November 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-11-15.pdf
January 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-01-18.pdf
February 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-02-15.pdf
March 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-03-15.pdf
April 19,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-04-19.pdf
May 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-05-17.pdf
June 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-06-21.pdf
October 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-10-18.pdf
December 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-12-20.pdf
January 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-01-20.pdf
February 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-02-17.pdf
April 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-04-20.pdf
May 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-05-18.pdf
June 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-06-15.pdf
September 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-09-21.pdf
October 19,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-10-19.pdf
November 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-11-16.pdf
January 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-01-21.pdf
March 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-03-18.pdf
April 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-04-15.pdf
May 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-05-20.pdf
June 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-06-17.pdf
September 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-09-16.pdf
October 21,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-10-21.pdf
November 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-11-18.pdf
